iter	Passed	Remaining
0	11	11971
1	26	13027
2	33	11288
3	46	11652
4	55	11092
5	66	11011
6	77	10995
7	86	10722
8	96	10574
9	104	10351
10	114	10253
11	122	10116
12	131	9970
13	141	9952
14	150	9856
15	161	9934
16	170	9868
17	179	9792
18	188	9728
19	197	9672
20	206	9634
21	215	9571
22	226	9613
23	235	9577
24	245	9562
25	255	9561
26	264	9534
27	274	9534
28	283	9490
29	293	9491
30	302	9470
31	311	9430
32	320	9401
33	330	9392
34	340	9375
35	349	9351
36	358	9331
37	367	9294
38	375	9253
39	384	9219
40	392	9186
41	396	9036
42	404	9008
43	407	8858
44	416	8831
45	425	8819
46	433	8799
47	443	8789
48	452	8781
49	461	8763
50	470	8748
51	476	8688
52	485	8667
53	493	8645
54	502	8630
55	510	8607
56	518	8583
57	526	8551
58	534	8524
59	542	8502
60	552	8504
61	561	8493
62	570	8490
63	580	8485
64	589	8483
65	599	8484
66	608	8475
67	618	8473
68	626	8455
69	636	8451
70	645	8446
71	655	8447
72	664	8440
73	674	8434
74	683	8432
75	694	8439
76	705	8451
77	715	8456
78	724	8449
79	735	8455
80	743	8439
81	753	8433
82	762	8425
83	772	8420
84	782	8422
85	791	8407
86	801	8411
87	811	8406
88	820	8400
89	830	8401
90	843	8422
91	854	8429
92	864	8430
93	874	8430
94	884	8427
95	894	8425
96	904	8416
97	913	8411
98	923	8404
99	932	8393
100	942	8385
101	950	8371
102	961	8372
103	970	8361
104	979	8348
105	987	8332
106	996	8318
107	1006	8311
108	1015	8301
109	1024	8286
110	1033	8279
111	1042	8267
112	1051	8255
113	1062	8254
114	1072	8251
115	1081	8239
116	1089	8225
117	1099	8215
118	1108	8203
119	1117	8192
120	1127	8191
121	1136	8181
122	1145	8164
123	1153	8150
124	1163	8143
125	1172	8134
126	1180	8118
127	1189	8101
128	1198	8091
129	1207	8080
130	1216	8071
131	1226	8062
132	1235	8057
133	1245	8047
134	1253	8032
135	1262	8020
136	1271	8010
137	1280	7996
138	1287	7977
139	1295	7957
140	1303	7941
141	1312	7931
142	1321	7918
143	1329	7905
144	1340	7902
145	1350	7896
146	1359	7890
147	1367	7873
148	1376	7863
149	1384	7847
150	1391	7822
151	1400	7810
152	1409	7801
153	1417	7788
154	1427	7779
155	1436	7769
156	1443	7753
157	1452	7742
158	1461	7732
159	1471	7722
160	1479	7708
161	1488	7699
162	1496	7686
163	1505	7675
164	1514	7662
165	1522	7649
166	1530	7635
167	1539	7624
168	1547	7607
169	1555	7595
170	1563	7579
171	1572	7570
172	1581	7559
173	1590	7548
174	1597	7532
175	1605	7518
176	1613	7503
177	1623	7498
178	1631	7484
179	1640	7473
180	1647	7454
181	1656	7445
182	1663	7426
183	1672	7417
184	1679	7400
185	1688	7390
186	1696	7376
187	1705	7365
188	1713	7351
189	1721	7340
190	1729	7324
191	1737	7312
192	1745	7299
193	1756	7299
194	1766	7291
195	1774	7277
196	1782	7266
197	1790	7251
198	1797	7237
199	1806	7224
200	1813	7210
201	1821	7195
202	1828	7180
203	1836	7166
204	1843	7150
205	1850	7133
206	1858	7119
207	1865	7104
208	1873	7090
209	1881	7077
210	1889	7064
211	1896	7048
212	1903	7034
213	1911	7019
214	1919	7007
215	1926	6991
216	1933	6977
217	1940	6961
218	1947	6946
219	1954	6930
220	1961	6915
221	1969	6900
222	1976	6886
223	1983	6872
224	1990	6857
225	2000	6850
226	2007	6836
227	2016	6826
228	2023	6811
229	2030	6799
230	2038	6785
231	2045	6772
232	2053	6759
233	2061	6746
234	2068	6733
235	2075	6719
236	2083	6706
237	2090	6692
238	2097	6679
239	2101	6653
240	2108	6639
241	2116	6629
242	2123	6615
243	2132	6606
244	2139	6592
245	2148	6584
246	2155	6572
247	2164	6563
248	2171	6548
249	2179	6537
250	2186	6524
251	2194	6513
252	2201	6500
253	2212	6496
254	2223	6496
255	2233	6491
256	2240	6478
257	2262	6505
258	2269	6493
259	2277	6483
260	2285	6469
261	2292	6457
262	2299	6444
263	2307	6433
264	2315	6422
265	2326	6418
266	2337	6416
267	2351	6423
268	2360	6415
269	2368	6404
270	2378	6398
271	2386	6388
272	2396	6382
273	2405	6374
274	2415	6367
275	2424	6359
276	2433	6351
277	2442	6342
278	2451	6334
279	2461	6328
280	2469	6318
281	2478	6310
282	2486	6300
283	2495	6291
284	2502	6279
285	2511	6270
286	2520	6261
287	2529	6254
288	2537	6243
289	2546	6234
290	2554	6225
291	2564	6216
292	2573	6209
293	2581	6200
294	2590	6190
295	2598	6181
296	2610	6179
297	2623	6179
298	2646	6205
299	2666	6221
300	2678	6220
301	2689	6215
302	2703	6219
303	2713	6212
304	2724	6208
305	2734	6200
306	2745	6197
307	2755	6191
308	2764	6182
309	2774	6175
310	2783	6165
311	2792	6158
312	2801	6148
313	2809	6138
314	2818	6129
315	2826	6119
316	2835	6109
317	2843	6098
318	2855	6095
319	2867	6092
320	2877	6087
321	2889	6083
322	2898	6075
323	2927	6107
324	2948	6122
325	2961	6123
326	2972	6117
327	2982	6110
328	2992	6102
329	3001	6094
330	3010	6084
331	3019	6076
332	3028	6066
333	3039	6060
334	3047	6048
335	3056	6039
336	3064	6028
337	3073	6019
338	3081	6008
339	3091	6000
340	3099	5990
341	3108	5980
342	3116	5970
343	3124	5958
344	3132	5947
345	3140	5936
346	3149	5926
347	3157	5915
348	3166	5906
349	3174	5896
350	3183	5886
351	3191	5874
352	3199	5863
353	3206	5852
354	3214	5840
355	3223	5831
356	3230	5818
357	3237	5806
358	3246	5795
359	3254	5785
360	3262	5774
361	3269	5762
362	3277	5751
363	3284	5739
364	3292	5727
365	3299	5715
366	3306	5703
367	3314	5692
368	3322	5681
369	3329	5669
370	3337	5657
371	3344	5646
372	3351	5634
373	3358	5621
374	3365	5609
375	3373	5597
376	3380	5586
377	3387	5574
378	3395	5563
379	3402	5551
380	3409	5539
381	3416	5527
382	3424	5515
383	3431	5504
384	3438	5492
385	3446	5482
386	3453	5470
387	3461	5460
388	3468	5448
389	3476	5437
390	3483	5425
391	3490	5414
392	3498	5403
393	3505	5391
394	3513	5381
395	3520	5369
396	3528	5358
397	3535	5347
398	3543	5337
399	3552	5328
400	3559	5317
401	3567	5306
402	3575	5296
403	3582	5284
404	3590	5274
405	3597	5263
406	3604	5251
407	3611	5240
408	3618	5229
409	3626	5218
410	3633	5207
411	3641	5196
412	3648	5185
413	3655	5174
414	3663	5164
415	3671	5153
416	3678	5142
417	3685	5131
418	3693	5121
419	3700	5110
420	3708	5099
421	3715	5088
422	3723	5079
423	3730	5068
424	3738	5057
425	3745	5047
426	3753	5036
427	3760	5025
428	3768	5015
429	3776	5006
430	3784	4996
431	3793	4987
432	3802	4978
433	3809	4968
434	3817	4958
435	3825	4949
436	3833	4939
437	3842	4929
438	3850	4920
439	3859	4911
440	3867	4902
441	3875	4892
442	3882	4882
443	3891	4873
444	3899	4863
445	3906	4852
446	3913	4841
447	3921	4831
448	3928	4821
449	3937	4811
450	3944	4802
451	3952	4792
452	3960	4781
453	3968	4772
454	3976	4762
455	3984	4752
456	3991	4743
457	4000	4734
458	4008	4724
459	4015	4714
460	4023	4704
461	4031	4694
462	4039	4685
463	4047	4675
464	4055	4665
465	4062	4655
466	4069	4644
467	4077	4635
468	4084	4624
469	4092	4614
470	4099	4604
471	4106	4593
472	4113	4583
473	4121	4573
474	4129	4564
475	4136	4553
476	4144	4543
477	4151	4533
478	4158	4522
479	4166	4513
480	4173	4503
481	4180	4493
482	4188	4482
483	4195	4472
484	4203	4463
485	4210	4452
486	4217	4442
487	4225	4432
488	4232	4422
489	4239	4412
490	4247	4402
491	4255	4393
492	4262	4383
493	4269	4373
494	4276	4362
495	4290	4359
496	4307	4359
497	4316	4350
498	4325	4342
499	4332	4332
500	4339	4322
501	4347	4312
502	4354	4302
503	4362	4293
504	4370	4283
505	4376	4273
506	4384	4263
507	4391	4253
508	4398	4243
509	4406	4233
510	4414	4224
511	4421	4214
512	4428	4203
513	4435	4193
514	4442	4183
515	4449	4173
516	4457	4164
517	4465	4154
518	4473	4145
519	4481	4136
520	4488	4126
521	4496	4117
522	4503	4107
523	4511	4097
524	4518	4087
525	4525	4077
526	4532	4067
527	4540	4058
528	4548	4049
529	4555	4039
530	4562	4030
531	4571	4021
532	4578	4011
533	4585	4001
534	4592	3991
535	4599	3981
536	4607	3972
537	4614	3963
538	4622	3953
539	4629	3943
540	4636	3934
541	4644	3924
542	4652	3915
543	4659	3905
544	4666	3896
545	4674	3886
546	4681	3877
547	4688	3867
548	4696	3858
549	4703	3848
550	4710	3838
551	4717	3829
552	4724	3819
553	4731	3809
554	4738	3799
555	4746	3790
556	4753	3780
557	4760	3771
558	4768	3761
559	4775	3752
560	4782	3742
561	4790	3733
562	4797	3723
563	4804	3714
564	4812	3705
565	4823	3698
566	4832	3690
567	4840	3681
568	4848	3672
569	4855	3663
570	4863	3654
571	4871	3644
572	4878	3635
573	4886	3626
574	4893	3617
575	4901	3607
576	4908	3598
577	4915	3588
578	4923	3579
579	4930	3570
580	4937	3560
581	4944	3551
582	4951	3541
583	4958	3532
584	4965	3522
585	4973	3513
586	4980	3504
587	4988	3495
588	4995	3485
589	5002	3476
590	5010	3467
591	5016	3457
592	5024	3448
593	5032	3439
594	5040	3430
595	5047	3421
596	5054	3411
597	5061	3402
598	5069	3393
599	5076	3384
600	5084	3375
601	5097	3370
602	5104	3360
603	5112	3351
604	5119	3342
605	5126	3333
606	5134	3324
607	5141	3314
608	5148	3305
609	5155	3296
610	5162	3286
611	5169	3277
612	5177	3268
613	5184	3259
614	5191	3250
615	5199	3241
616	5207	3232
617	5214	3223
618	5221	3213
619	5228	3204
620	5235	3195
621	5243	3186
622	5251	3177
623	5257	3168
624	5265	3159
625	5273	3150
626	5280	3141
627	5288	3132
628	5295	3123
629	5302	3114
630	5309	3105
631	5317	3096
632	5324	3087
633	5331	3077
634	5339	3068
635	5347	3060
636	5354	3051
637	5361	3042
638	5368	3032
639	5375	3023
640	5382	3014
641	5389	3005
642	5396	2996
643	5404	2987
644	5411	2978
645	5419	2969
646	5426	2960
647	5434	2952
648	5442	2943
649	5449	2934
650	5456	2925
651	5463	2915
652	5470	2907
653	5477	2897
654	5485	2889
655	5492	2880
656	5500	2871
657	5507	2862
658	5514	2853
659	5522	2845
660	5531	2836
661	5538	2827
662	5545	2818
663	5552	2809
664	5559	2800
665	5567	2792
666	5574	2783
667	5582	2774
668	5589	2765
669	5596	2756
